day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_in_step_chest_p50,gold_in_step_chest_p95,gold_in_step_chest_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,step_chests_opened_p50,step_chests_opened_p95,step_chests_opened_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,workshop_box_opened_p50,workshop_box_opened_p95,workshop_box_opened_mean,workshop_gift_accessory_p50,workshop_gift_accessory_p95,workshop_gift_accessory_mean,workshop_gift_flower_p50,workshop_gift_flower_p95,workshop_gift_flower_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,love_petals_in_workshop_dupe_p50,love_petals_in_workshop_dupe_p95,love_petals_in_workshop_dupe_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,gold_in_adoption_p50,gold_in_adoption_p95,gold_in_adoption_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,bond_points_gain_p50,bond_points_gain_p95,bond_points_gain_mean
11,3.0,3.0,3,0.0,2.0,0.56,,,,,,,1.0,2.0,0.7,2.0,5.0,2.54,1.0,4.0,1.42,1.0,3.0,1.54,1.0,3.0,0.92,2.0,4.549999999999997,2.02,2.0,4.0,2.3,17.0,30.549999999999997,18.2,4500.0,4500.0,4500,0.0,1.0,0.08,0.0,27.499999999999858,3,30.0,30.0,27.6,0.0,0.0,0,24.0,24.0,24,260.0,310.0,264.2,372.0,372.0,372,3010.0,3410.0,3031,10.0,15.0,8.5,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,13500.0,13500.0,13500,1.0,1.0,0.58,,,,100.0,250.0,117,0.0,0.0,0,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,0.0,20.0,9.8,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,0.0,1.0,0.44,0.0,1.5499999999999972,0.52,,,,0.0,1.0,0.1,0.0,1.0,0.24,0.0,1.0,0.08,10.0,28.249999999999957,11.3,,,,,,,3.0,3.0,3,150.0,150.0,150,,,,,,
12,3.0,3.0,3,0.0,2.0,0.54,,,,,,,1.0,2.0,0.64,3.0,5.0,3.22,1.0,3.0,1.4,1.0,3.0,1.16,1.0,3.0,1.08,2.0,4.0,1.82,2.0,4.0,2.14,18.5,31.549999999999997,19.2,4500.0,4500.0,4500,0.0,0.0,0.02,0.0,50.0,4,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,260.0,310.0,268.2,277.0,277.0,277,3370.0,3820.0,3411,10.0,15.0,7.4,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,9500.0,9500.0,9500,0.0,1.0,0.48,,,,125.0,250.0,124,200.0,200.0,196,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,14,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,0.0,2.0,0.4,0.0,2.0,0.6,,,,0.0,1.0,0.12,0.0,1.0,0.38,0.0,0.0,0.02,10.0,30.49999999999997,12.9,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,,,
13,3.0,3.0,3,0.0,2.0,0.5,,,,,,,0.0,2.0,0.56,2.5,5.0,2.54,1.0,3.0,1.3,2.0,4.0,1.66,1.0,3.0,1.28,2.0,4.549999999999997,2.36,2.0,4.0,1.8,14.0,30.0,16.2,4500.0,4500.0,4500,0.0,1.0,0.18,0.0,27.499999999999858,3,40.0,40.0,32.8,0.0,0.0,0,24.0,24.0,24,300.0,350.0,304,182.0,182.0,182,3605.0,3980.0,3600,7.5,15.0,6.9,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,9500.0,9500.0,9500,1.0,1.0,0.6,,,,150.0,227.49999999999986,129,0.0,0.0,0,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,0.0,20.0,6.2,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,1.0,1.0,1,0.0,1.0,0.26,0.0,1.0,0.3,,,,0.0,1.0,0.12,0.0,1.0,0.28,,,,0.0,10.0,5.7,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,,,
14,3.0,3.0,3,0.0,1.0,0.46,,,,,,,0.0,1.5499999999999972,0.54,2.5,5.0,2.66,1.0,4.0,1.56,1.0,4.0,1.64,1.0,3.0,1.06,2.0,4.0,1.92,2.0,4.549999999999997,2.16,22.0,31.549999999999997,22.24,4500.0,4500.0,4500,0.0,0.5499999999999972,0.06,0.0,27.499999999999858,3,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,300.0,350.0,307,87.0,87.0,87,4090.0,4517.5,4120,10.0,20.49999999999997,9.7,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,9500.0,9500.0,9500,1.0,1.0,0.56,,,,125.0,227.49999999999986,131,350.0,350.0,329,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,70.0,70.0,58.2,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,0.0,1.0,0.26,1.0,2.0,0.62,,,,0.0,1.0,0.08,0.0,1.0,0.3,0.0,0.5499999999999972,0.06,10.0,35.0,14,,,,50.0,50.0,47,2.0,2.0,2,100.0,100.0,100,,,,,,
15,3.0,3.0,3,0.0,1.5499999999999972,0.54,,,,,,,0.0,2.0,0.56,2.5,5.549999999999997,2.74,1.0,3.549999999999997,1.5,2.0,4.0,1.92,1.0,3.0,1.1,2.0,3.549999999999997,1.94,1.5,4.0,1.7,18.5,30.0,18.44,4500.0,4500.0,4500,0.0,1.0,0.1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,300.0,350.0,308,4742.0,4742.0,4742,4300.0,4727.5,4300,10.0,17.749999999999986,7.9,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,4750.0,4750.0,4750,0.5,1.0,0.5,,,,150.0,227.49999999999986,130,100.0,100.0,90,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,20.0,50.0,19.2,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,0.0,1.0,0.32,1.0,1.0,0.56,,,,0.0,1.0,0.18,0.0,1.0,0.28,0.0,0.0,0.04,10.0,35.0,17.4,,,,,,,1.0,1.0,1,50.0,50.0,50,,,,,,
16,3.0,3.0,3,0.0,2.0,0.58,,,,,,,0.0,1.0,0.38,3.0,4.0,2.98,1.0,3.0,1.16,2.0,3.0,1.68,1.0,2.0,0.88,2.0,4.0,2.2,2.0,4.0,2.14,15.0,25.0,15.72,4500.0,4500.0,4500,0.0,0.5499999999999972,0.06,0.0,0.0,2,20.0,20.0,18.8,0.0,0.0,0,24.0,24.0,24,320.0,370.0,328.8,4647.0,4647.0,4647,4410.0,4860.0,4412,7.5,15.0,7.3,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,9500.0,9500.0,9500,1.0,1.0,0.64,,,,100.0,227.49999999999986,102,0.0,0.0,0,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,0.0,20.0,9.6,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,1.0,1.0,1,0.0,1.0,0.14,0.0,1.0,0.28,,,,0.0,0.5499999999999972,0.06,0.0,1.0,0.24,0.0,0.5499999999999972,0.06,10.0,25.0,9,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,,,
17,3.0,3.0,3,1.0,2.549999999999997,0.76,,,,,,,0.0,2.0,0.52,3.0,5.0,2.88,2.0,4.0,1.68,1.0,3.0,1.5,1.0,2.0,0.86,2.0,4.0,1.9,2.0,4.0,1.9,15.5,30.0,17.06,4500.0,4500.0,4500,0.0,0.5499999999999972,0.06,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,380.0,450.0,385.2,4302.0,4302.0,4302,4695.0,5170.0,4690,10.0,17.749999999999986,9.3,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,9750.0,9750.0,9750,1.0,1.0,0.54,,,,150.0,227.49999999999986,127,150.0,150.0,141,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,20.0,60.99999999999994,14.8,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,0.0,1.0,0.36,1.0,2.0,0.6,80.0,80.0,54.4,0.0,1.0,0.14,0.0,1.0,0.22,0.0,1.0,0.1,10.0,55.49999999999997,16.8,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,,,
18,3.0,3.0,3,0.0,2.0,0.48,,,,,,,0.0,2.0,0.44,3.0,5.549999999999997,2.94,1.0,3.549999999999997,1.4,1.0,4.0,1.64,1.0,2.0,0.94,2.0,4.0,2.12,2.0,4.0,2.04,18.0,30.0,18.2,4500.0,4500.0,4500,0.0,1.0,0.12,0.0,0.0,2,30.0,30.0,26.4,0.0,0.0,0,24.0,24.0,24,440.0,480.0,439.2,3707.0,3707.0,3707,4830.0,5307.5,4817,10.0,15.0,8.4,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,10000.0,10000.0,10000,0.0,1.0,0.48,,,,100.0,200.0,117,0.0,0.0,0,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,20.0,50.0,16,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,0.0,1.0,0.24,1.0,1.0,0.56,0.0,80.0,25.6,0.0,1.0,0.08,0.0,1.0,0.42,0.0,0.0,0.02,10.0,35.0,15.1,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,,,
19,3.0,3.0,3,1.0,2.0,0.78,,,,,,,0.0,2.0,0.62,3.0,4.549999999999997,2.68,1.0,3.0,1.3,1.0,3.549999999999997,1.4,1.0,2.0,1.1,2.0,4.0,2.1,2.0,4.0,2.02,16.0,29.0,17.28,4500.0,4500.0,4500,0.0,1.0,0.08,0.0,27.499999999999858,3,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,440.0,480.0,442.2,3112.0,3112.0,3112,5140.0,5590.0,5131,5.0,15.0,6.3,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,10000.0,10000.0,10000,1.0,1.0,0.62,,,,100.0,200.0,120,200.0,200.0,184,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,0.0,50.0,12.4,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,1.0,1.0,1,0.0,1.0,0.2,0.0,1.0,0.26,,,,0.0,1.0,0.12,0.0,1.0,0.2,0.0,0.5499999999999972,0.06,10.0,60.0,10.3,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,,,
20,3.0,3.0,3,0.0,2.0,0.58,,,,,,,0.0,2.0,0.5,3.0,5.0,2.68,1.5,3.0,1.5,1.0,3.549999999999997,1.66,1.0,2.549999999999997,1.02,2.0,4.0,2.06,2.0,4.0,2,15.0,33.19999999999999,17.5,4500.0,4500.0,4500,0.0,1.0,0.1,0.0,27.499999999999858,3,40.0,40.0,36,0.0,0.0,0,24.0,24.0,24,480.0,520.0,481.2,2517.0,2517.0,2517,5300.0,5700.0,5267,7.5,15.0,7.1,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,10000.0,10000.0,10000,1.0,1.0,0.68,,,,100.0,200.0,126,0.0,0.0,0,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,20.0,50.0,17,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,0.0,1.0,0.18,0.0,2.0,0.54,,,,0.0,1.0,0.08,0.0,1.0,0.22,0.0,0.0,0.02,20.0,43.24999999999996,17.8,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,,,
21,3.0,3.0,3,1.0,1.5499999999999972,0.62,,,,,,,0.0,2.0,0.62,3.0,6.0,3.04,1.0,3.0,1.28,1.0,3.0,1.5,1.0,2.0,0.8,2.0,4.0,1.8,2.0,5.0,2.34,21.5,37.0,23.46,4500.0,4500.0,4500,0.0,1.0,0.08,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,480.0,520.0,482.2,1922.0,1922.0,1922,5710.0,6187.5,5703,10.0,20.49999999999997,9.3,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,10000.0,10000.0,10000,1.0,1.0,0.58,,,,100.0,227.49999999999986,104,350.0,350.0,322,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,70.0,70.0,58.8,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,0.0,1.0,0.28,0.0,1.0,0.4,,,,0.0,1.0,0.12,0.0,1.0,0.28,0.0,0.0,0.02,10.0,35.0,15,,,,50.0,50.0,46,2.0,2.0,2,100.0,100.0,100,,,,,,
22,3.0,3.0,3,0.0,2.0,0.48,,,,,,,0.0,2.0,0.62,2.0,5.0,2.54,1.0,3.0,1.36,1.0,4.0,1.52,1.0,2.549999999999997,1.08,2.0,4.0,2.1,2.0,4.0,2.3,18.0,35.55,17.94,4500.0,4500.0,4500,0.0,1.0,0.08,,,,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,480.0,520.0,482.2,1077.0,1077.0,1077,5920.0,6447.5,5927,7.5,15.0,7.5,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,10250.0,10250.0,10250,1.0,1.0,0.56,,,,100.0,200.0,122,100.0,100.0,92,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,0.0,36.499999999999915,10.6,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,1.0,1.0,1,0.0,1.0,0.08,0.0,1.0,0.36,,,,0.0,1.0,0.08,0.0,1.0,0.34,0.0,0.0,0.02,10.0,25.0,8.8,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,,,
23,3.0,3.0,3,0.0,2.0,0.64,,,,,,,0.0,2.0,0.58,3.0,4.549999999999997,2.52,1.0,3.0,1.44,2.0,3.0,1.82,1.0,3.0,0.98,2.0,4.0,2.04,2.0,4.549999999999997,1.98,16.0,33.0,18.08,4500.0,4500.0,4500,0.0,1.0,0.12,,,,20.0,20.0,17.6,0.0,0.0,0,24.0,24.0,24,500.0,540.0,499.8,5232.0,5232.0,5232,6080.0,6530.0,6008,10.0,15.0,9.1,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,5250.0,5250.0,5250,1.0,1.0,0.64,,,,125.0,250.0,121,0.0,0.0,0,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,20.0,50.0,15.6,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,0.0,1.0,0.14,0.0,2.0,0.52,,,,0.0,1.0,0.08,0.0,1.0,0.24,0.0,0.0,0.04,15.0,35.0,17.2,,,,,,,1.0,1.0,1,50.0,50.0,50,,,,,,
24,3.0,3.0,3,0.0,2.0,0.6,,,,,,,1.0,1.5499999999999972,0.6,3.0,5.0,2.68,1.0,3.0,1.32,1.5,3.549999999999997,1.52,1.0,3.0,1.14,2.0,4.0,2.16,2.0,4.549999999999997,1.98,19.0,26.64999999999999,18.14,4500.0,4500.0,4500,0.0,1.0,0.12,,,,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,500.0,540.0,499.8,4137.0,4137.0,4137,6340.0,6767.5,6273,10.0,20.0,9.7,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,10500.0,10500.0,10500,1.0,1.0,0.58,,,,100.0,250.0,123,150.0,150.0,132,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,20.0,50.0,15.6,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,0.0,1.0,0.28,1.0,1.5499999999999972,0.6,,,,0.0,1.0,0.14,0.0,1.0,0.22,0.0,0.5499999999999972,0.06,10.0,35.0,16.2,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,,,
25,3.0,3.0,3,0.0,2.0,0.56,,,,,,,0.0,2.0,0.5,3.0,5.0,2.86,1.0,3.0,1.34,1.0,4.0,1.6,1.0,3.0,1.3,2.0,4.0,1.88,2.0,4.0,1.96,14.5,30.64999999999999,16.8,4500.0,4500.0,4500,0.0,1.0,0.12,,,,30.0,30.0,26.4,0.0,0.0,0,24.0,24.0,24,530.0,570.0,526.2,3042.0,3042.0,3042,6500.0,6900.0,6415,10.0,17.749999999999986,8.2,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,10500.0,10500.0,10500,0.0,1.0,0.44,,,,150.0,227.49999999999986,132,0.0,0.0,0,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,0.0,50.0,12.2,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,1.0,1.0,1,0.0,1.0,0.14,0.0,1.0,0.3,,,,0.0,1.0,0.16,0.0,1.0,0.34,0.0,0.5499999999999972,0.06,10.0,44.2499999999999,10.7,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,,,
26,3.0,3.0,3,1.0,2.0,0.64,,,,,,,0.0,2.0,0.56,3.0,5.549999999999997,2.94,1.0,3.549999999999997,1.32,2.0,3.0,1.68,1.0,2.549999999999997,0.94,2.0,4.0,1.9,2.0,4.0,1.9,17.0,31.549999999999997,18.56,4500.0,4500.0,4500,0.0,1.0,0.1,,,,0.0,0.0,0,0.0,0.0,0,24.0,25.0,24.16,575.0,620.0,568.2,1947.0,1947.0,1947,6585.0,6960.0,5176,10.0,15.0,8.1,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,10500.0,10500.0,10500,1.0,1.0,0.68,,,,100.0,200.0,113,200.0,200.0,180,,,,10.0,10.0,10,100.0,100.0,94,24.0,28.0,24.88,,,,20.0,60.99999999999994,19.8,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.88,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.88,2.0,2.0,2,0.0,1.0,0.14,1.0,1.5499999999999972,0.62,50.0,50.0,42,0.0,1.0,0.08,0.0,1.0,0.24,,,,15.0,60.0,19.7,,,,,,,2.0,2.0,1.84,100.0,100.0,92,0.0,7000.0,1540,,,
27,3.0,3.0,3,1.0,2.0,0.8,,,,,,,0.0,2.0,0.52,2.0,5.549999999999997,2.66,1.0,3.0,1.36,2.0,3.0,1.58,1.0,2.549999999999997,1,2.0,3.0,1.76,2.0,4.0,1.96,15.0,31.549999999999997,16.54,4500.0,4500.0,4500,0.0,1.0,0.1,0.0,0.0,1,40.0,40.0,36,0.0,0.0,0,24.0,27.0,24.7,620.0,660.0,613.2,852.0,852.0,852,6395.0,6947.5,4175,10.0,22.749999999999986,10.5,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,10500.0,10500.0,10500,1.0,1.0,0.68,,,,100.0,250.0,118,0.0,0.0,0,,,,10.0,10.0,10,100.0,100.0,82,24.0,28.0,25.52,,,,20.0,50.0,14.2,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.64,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.64,2.0,2.0,2,0.0,1.0,0.34,0.5,1.0,0.54,0.0,50.0,8,0.0,1.0,0.1,0.0,1.0,0.22,,,,10.0,48.74999999999993,16.6,,,,,,,2.0,2.0,1.46,100.0,100.0,73,0.0,7000.0,1120,,,
28,3.0,3.0,3,0.0,2.0,0.6,,,,,,,0.0,2.0,0.58,3.0,4.549999999999997,2.86,1.0,3.0,1.2,1.0,3.0,1.5,1.0,2.0,0.92,2.0,5.0,2.3,2.0,4.0,1.94,21.0,36.55,22.42,4500.0,4500.0,4500,0.0,1.0,0.08,,,,0.0,0.0,0,0.0,0.0,0,24.0,28.0,25.08,620.0,660.0,613.2,4757.0,4757.0,4757,430.0,6880.0,1749,5.0,17.749999999999986,8.7,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,5500.0,5500.0,5500,1.0,1.0,0.64,,,,100.0,227.49999999999986,106,350.0,350.0,322,,,,10.0,10.0,10,100.0,100.0,95,28.0,28.0,27.12,,,,50.0,70.0,56.8,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.9,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.9,1.0,1.0,1,0.0,1.0,0.08,0.0,1.0,0.28,,,,0.0,0.0,0.04,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,10.0,25.0,9,,,,50.0,50.0,46,1.0,1.0,0.62,50.0,50.0,31,0.0,7000.0,2800,,,
29,3.0,3.0,3,0.0,2.0,0.6,,,,,,,0.5,2.0,0.62,3.0,6.0,2.98,2.0,3.0,1.52,1.0,3.0,1.34,1.0,2.549999999999997,0.98,2.0,4.0,1.94,2.0,4.0,1.9,18.0,33.0,19.24,4500.0,4500.0,4500,0.0,0.5499999999999972,0.06,,,,0.0,0.0,0,0.0,0.0,0,26.0,28.0,26.34,620.0,660.0,613.2,3162.0,3162.0,3162,440.0,6627.5,1081,10.0,25.0,11.1,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,11000.0,11000.0,11000,1.0,1.0,0.64,,,,100.0,250.0,125,100.0,100.0,94,,,,10.0,10.0,10,100.0,100.0,94,28.0,28.0,27.6,,,,20.0,70.0,20,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.88,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.88,2.0,2.0,2,0.0,1.0,0.08,0.0,2.0,0.5,,,,0.0,0.0,0.02,0.0,1.0,0.28,0.0,0.5499999999999972,0.06,20.0,54.2499999999999,22.4,,,,,,,0.0,2.0,0.74,0.0,100.0,37,0.0,7000.0,840,,,
