day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_in_step_chest_p50,gold_in_step_chest_p95,gold_in_step_chest_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,step_chests_opened_p50,step_chests_opened_p95,step_chests_opened_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,workshop_box_opened_p50,workshop_box_opened_p95,workshop_box_opened_mean,workshop_gift_accessory_p50,workshop_gift_accessory_p95,workshop_gift_accessory_mean,workshop_gift_flower_p50,workshop_gift_flower_p95,workshop_gift_flower_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,love_petals_in_workshop_dupe_p50,love_petals_in_workshop_dupe_p95,love_petals_in_workshop_dupe_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,energy_overflow_cutoff_p50,energy_overflow_cutoff_p95,energy_overflow_cutoff_mean
11,0.0,0.0,0,0.0,2.0,0.54,,,,,,,0.0,2.549999999999997,0.58,2.0,4.0,2.1,1.0,2.0,0.8,1.0,3.0,1.18,1.0,2.0,0.72,1.0,3.0,1.5,1.5,3.549999999999997,1.58,14.5,28.64999999999999,16.18,4500.0,4500.0,4500,0.0,0.0,0.04,30.0,30.0,28.8,0.0,0.0,0,16.0,16.0,16,260.0,260.0,247,2880.0,2880.0,2880,2410.0,2710.0,2405,10.0,17.749999999999986,8.7,0.0,0.0,0,4950.0,4950.0,4950,4250.0,4250.0,4250,1.0,1.0,0.6,,,,75.0,150.0,76,0.0,0.0,0,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.08,0.0,1.0,0.3,0.0,0.0,0.02,10.0,30.49999999999997,14.5,0.0,0.0,0.6,,,,20.0,20.0,13,,,,,,,,,
12,0.0,0.0,0,0.0,2.0,0.5,,,,,,,0.0,1.0,0.34,2.0,4.0,2.04,1.0,3.0,1.12,1.0,3.0,1.22,1.0,2.0,0.8,1.0,3.0,1.4,1.0,3.549999999999997,1.58,12.0,23.099999999999994,13.6,4500.0,4500.0,4500,0.0,0.5499999999999972,0.06,0.0,0.0,0,0.0,0.0,0,17.0,17.0,17,260.0,310.0,250.6,3580.0,3580.0,3580,2620.0,3020.0,2649,10.0,15.0,7.3,0.0,0.0,0,4950.0,4950.0,4950,4250.0,4250.0,4250,1.0,1.0,0.68,,,,100.0,200.0,96,200.0,200.0,188,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.34,1.0,1.5499999999999972,0.58,0.0,0.5499999999999972,0.06,0.0,1.0,0.22,0.0,0.0,0.04,10.0,20.0,11.4,0.0,40.99999999999994,3.6,,,,20.0,20.0,12.8,,,,,,,,,
13,0.0,0.0,0,0.0,1.0,0.44,,,,,,,0.0,1.5499999999999972,0.44,2.0,4.0,1.96,1.0,3.0,1.12,1.0,3.0,1.08,1.0,2.549999999999997,1.06,1.0,3.0,1.44,1.0,3.549999999999997,1.46,11.0,23.549999999999997,12.7,4500.0,4500.0,4500,0.0,1.0,0.14,40.0,40.0,34.4,0.0,0.0,0,19.0,19.0,19,280.0,350.0,287,30.0,30.0,30,2705.0,3130.0,2718,5.0,15.0,6.7,0.0,0.0,0,4950.0,4950.0,4950,8500.0,8500.0,8500,1.0,1.0,0.68,,,,100.0,200.0,109,0.0,0.0,0,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,1.0,1.0,1,0.0,1.0,0.28,0.0,1.0,0.24,0.0,0.0,0.04,0.0,1.0,0.22,0.0,0.5499999999999972,0.06,0.0,25.0,7.4,0.0,0.0,2,,,,0.0,20.0,8,,,,,,,,,
14,0.0,0.0,0,0.0,2.0,0.54,,,,,,,0.0,2.0,0.48,2.0,4.0,2.2,1.0,2.0,1,1.0,2.0,0.92,1.0,2.0,0.74,1.5,4.0,1.66,1.0,3.0,1.46,17.0,33.0,19.36,4500.0,4500.0,4500,0.0,1.0,0.14,0.0,0.0,0,0.0,0.0,0,20.0,20.0,20,280.0,350.0,290,480.0,480.0,480,3065.0,3540.0,3066,10.0,30.0,11.7,0.0,0.0,0,4950.0,4950.0,4950,4500.0,4500.0,4500,1.0,1.0,0.54,,,,100.0,150.0,87,350.0,350.0,301,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.3,0.0,1.0,0.5,0.0,1.0,0.08,0.0,1.0,0.3,0.0,1.0,0.08,10.0,43.24999999999996,17,0.0,27.499999999999858,3,,,,70.0,70.0,55,,,,50.0,50.0,43,,,
15,0.0,0.0,0,0.0,1.0,0.36,,,,,,,0.0,2.0,0.56,2.0,4.0,2.12,1.0,3.0,1.26,1.0,3.0,1.16,1.0,2.0,0.92,1.0,3.0,1.3,1.0,3.549999999999997,1.32,16.0,29.549999999999997,16.64,4500.0,4500.0,4500,0.0,1.0,0.18,0.0,0.0,0,0.0,0.0,0,21.0,21.0,21,280.0,350.0,290,930.0,930.0,930,3150.0,3655.0,3167,10.0,20.0,8.4,0.0,0.0,0,4950.0,4950.0,4950,4500.0,4500.0,4500,0.0,1.0,0.44,,,,100.0,200.0,109,100.0,100.0,82,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.38,0.5,1.0,0.54,0.0,1.0,0.08,0.0,1.0,0.44,0.0,0.0,0.04,10.0,35.0,15.5,,,,,,,20.0,70.0,18.8,,,,,,,,,
16,0.0,0.0,0,0.0,2.0,0.6,,,,,,,0.0,1.0,0.3,2.0,4.0,2.02,1.0,2.0,1.02,1.0,3.0,1.12,1.0,3.0,0.8,2.0,3.0,1.56,1.0,4.0,1.58,12.0,20.0,12.08,4500.0,4500.0,4500,0.0,0.5499999999999972,0.06,20.0,20.0,18.8,0.0,0.0,0,22.0,22.0,22,300.0,370.0,309.8,1380.0,1380.0,1380,3160.0,3687.5,3168,5.0,15.0,7.3,0.0,0.0,0,4950.0,4950.0,4950,4500.0,4500.0,4500,1.0,1.0,0.6,,,,100.0,200.0,91,0.0,0.0,0,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,1.0,1.0,1,0.0,1.0,0.14,0.0,1.0,0.38,0.0,0.5499999999999972,0.06,0.0,1.0,0.28,0.0,0.5499999999999972,0.06,0.0,18.249999999999957,5.7,0.0,0.0,1,,,,0.0,20.0,6.8,,,,,,,,,
17,0.0,0.0,0,0.0,1.5499999999999972,0.24,,,,,,,0.0,1.0,0.52,2.0,4.549999999999997,2.04,1.0,2.0,1.04,1.0,3.0,1.18,1.0,2.0,0.76,2.0,4.0,1.74,2.0,3.0,1.48,14.0,26.0,16.02,4500.0,4500.0,4500,0.0,1.0,0.08,0.0,0.0,0,0.0,0.0,0,23.0,23.0,23,300.0,370.0,310.8,1830.0,1830.0,1830,3295.0,3875.0,3306,5.0,20.0,7.9,0.0,0.0,0,4950.0,4950.0,4950,4500.0,4500.0,4500,1.0,1.0,0.66,,,,100.0,200.0,90,150.0,150.0,138,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.32,0.0,2.0,0.42,0.0,0.0,0.04,0.0,1.0,0.26,0.0,0.0,0.04,10.0,35.0,16.2,0.0,0.0,1,,,,20.0,20.0,15.6,,,,,,,,,
18,0.0,0.0,0,0.0,1.5499999999999972,0.34,,,,,,,0.0,2.0,0.44,1.0,4.0,1.76,1.0,2.0,1.14,1.0,3.0,1.16,1.0,2.0,0.72,2.0,3.0,1.76,2.0,3.549999999999997,1.68,13.0,26.099999999999994,14.62,4500.0,4500.0,4500,0.0,1.0,0.08,30.0,30.0,27.6,0.0,0.0,0,24.0,24.0,24,330.0,400.0,339.4,2280.0,2280.0,2280,3280.0,3812.5,3309,7.5,15.0,7.7,0.0,0.0,0,4950.0,4950.0,4950,4500.0,4500.0,4500,1.0,1.0,0.58,,,,100.0,200.0,93,0.0,0.0,0,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.24,1.0,2.0,0.68,0.0,1.0,0.12,0.0,1.0,0.26,0.0,0.0,0.04,10.0,30.49999999999997,13,0.0,0.0,1,,,,20.0,20.0,13.2,,,,,,,,,
19,0.0,0.0,0,0.0,1.5499999999999972,0.36,,,,,,,0.0,2.0,0.52,2.0,4.0,2.08,1.0,3.549999999999997,1.16,1.0,2.549999999999997,1.02,1.0,2.0,0.94,1.0,3.0,1.34,2.0,3.0,1.58,12.0,25.099999999999994,13.3,4500.0,4500.0,4500,0.0,0.5499999999999972,0.06,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,330.0,400.0,339.4,7230.0,7230.0,7230,3515.0,4072.4999999999995,3512,10.0,15.0,8.2,0.0,0.0,0,4950.0,4950.0,4950,,,,1.0,1.0,0.6,,,,100.0,200.0,105,200.0,200.0,188,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,1.0,1.0,1,0.0,0.0,0.04,0.0,1.0,0.32,0.0,1.0,0.1,0.0,1.0,0.16,0.0,1.0,0.14,10.0,25.0,8.3,,,,,,,0.0,20.0,7.8,,,,,,,,,
20,0.0,0.0,0,0.0,1.5499999999999972,0.32,,,,,,,0.0,1.0,0.24,2.0,4.549999999999997,2.16,1.0,3.0,1.3,1.0,3.549999999999997,1.52,1.0,2.0,0.74,1.0,3.0,1.28,1.0,3.549999999999997,1.44,12.0,25.0,13.46,4500.0,4500.0,4500,0.0,1.0,0.08,40.0,40.0,36.8,0.0,0.0,0,24.0,24.0,24,370.0,440.0,376.2,12180.0,12180.0,12180,3550.0,4082.4999999999995,3524,7.5,15.0,7.7,0.0,0.0,0,4950.0,4950.0,4950,,,,1.0,1.0,0.64,,,,100.0,200.0,102,0.0,0.0,0,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.2,0.5,2.0,0.58,0.0,1.0,0.1,0.0,1.0,0.26,,,,15.0,43.24999999999996,17.5,,,,,,,20.0,50.0,18,,,,,,,,,
21,0.0,0.0,0,0.0,2.0,0.38,,,,,,,0.0,2.0,0.54,2.0,4.0,2.16,1.0,3.549999999999997,1.32,1.0,3.0,1.04,1.0,2.0,0.74,1.0,3.0,1.46,1.0,3.0,1.36,18.5,33.0,20.38,4500.0,4500.0,4500,0.0,1.0,0.1,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,370.0,440.0,376.2,15000.0,15000.0,15000,3860.0,4470.0,3852,5.0,37.749999999999986,11,0.0,0.0,0,4950.0,4950.0,4950,,,,1.0,1.0,0.62,,,,100.0,200.0,103,350.0,350.0,315,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.24,0.5,1.0,0.54,0.0,1.0,0.1,0.0,1.0,0.26,0.0,0.0,0.02,10.0,50.0,18.1,,,,,,,70.0,70.0,59.8,,,,50.0,50.0,45,2130.0,2130.0,2130
22,0.0,0.0,0,0.0,1.5499999999999972,0.5,,,,,,,0.0,2.0,0.52,2.0,4.0,2.2,1.0,3.0,1.12,1.0,2.0,0.98,0.0,2.549999999999997,0.76,1.0,3.0,1.42,1.0,3.0,1.5,12.0,26.19999999999999,13.38,4500.0,4500.0,4500,0.0,1.0,0.14,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,370.0,440.0,379.4,15000.0,15000.0,15000,3970.0,4597.5,3942,10.0,20.0,9,0.0,0.0,0,4950.0,4950.0,4950,,,,1.0,1.0,0.7,,,,100.0,177.49999999999986,94,100.0,100.0,86,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,1.0,1.0,1,0.0,1.0,0.16,0.0,1.0,0.26,0.0,1.0,0.18,0.0,1.0,0.1,0.0,0.0,0.02,10.0,25.0,7.6,,,,0.0,0.0,3.2,0.0,20.0,9.6,,,,,,,4950.0,4950.0,4950
23,0.0,0.0,0,0.0,1.5499999999999972,0.42,,,,,,,0.0,2.0,0.42,2.0,4.0,2.2,1.0,3.0,1.16,1.0,3.0,1.06,1.0,3.0,0.86,1.0,3.0,1.34,1.0,3.549999999999997,1.54,12.5,26.099999999999994,14.62,4500.0,4500.0,4500,0.0,0.0,0.02,20.0,20.0,19.6,0.0,0.0,0,24.0,24.0,24,470.0,540.0,467.8,15000.0,15000.0,15000,3930.0,4557.5,3953,10.0,25.0,10.2,0.0,0.0,0,4950.0,4950.0,4950,,,,1.0,1.0,0.66,,,,100.0,200.0,101,0.0,0.0,0,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.1,1.0,2.0,0.64,0.0,1.0,0.16,0.0,1.0,0.14,0.0,0.0,0.04,15.0,65.49999999999997,20.2,,,,80.0,80.0,68.8,20.0,70.0,19,,,,,,,4950.0,4950.0,4950
24,0.0,0.0,0,0.0,1.5499999999999972,0.32,,,,,,,0.0,2.0,0.36,2.0,4.0,1.96,1.0,3.549999999999997,1.26,1.0,3.0,1.16,1.0,2.549999999999997,1.1,1.0,3.0,1.28,1.0,3.0,1.56,12.0,27.549999999999997,13.7,4500.0,4500.0,4500,0.0,1.0,0.14,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,470.0,540.0,475.8,15000.0,15000.0,15000,4140.0,4667.5,4110,10.0,25.0,11.3,0.0,0.0,0,4950.0,4950.0,4950,,,,1.0,1.0,0.6,,,,100.0,250.0,118,150.0,150.0,129,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.28,0.0,2.0,0.58,0.0,1.0,0.12,0.0,1.0,0.28,,,,10.0,35.0,14.7,,,,0.0,80.0,8,20.0,20.0,13.6,,,,,,,4950.0,4950.0,4950
25,0.0,0.0,0,0.0,1.0,0.38,,,,,,,0.0,2.0,0.46,2.0,3.549999999999997,2.02,1.0,2.0,0.94,1.0,3.0,1.1,1.0,2.0,0.74,2.0,3.0,1.66,2.0,3.0,1.7,13.0,27.099999999999994,14.72,4500.0,4500.0,4500,0.0,1.0,0.08,30.0,30.0,27.6,0.0,0.0,0,24.0,24.0,24,500.0,570.0,503.4,15000.0,15000.0,15000,4150.0,4627.5,4104,10.0,20.0,9.3,0.0,0.0,0,4950.0,4950.0,4950,,,,1.0,1.0,0.6,,,,100.0,150.0,84,0.0,0.0,0,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,1.0,1.0,1,0.0,0.5499999999999972,0.06,0.0,1.0,0.28,0.0,0.5499999999999972,0.06,0.0,1.0,0.3,0.0,0.0,0.04,10.0,25.0,9,,,,,,,20.0,20.0,11,,,,,,,4950.0,4950.0,4950
26,0.0,0.0,0,0.0,2.0,0.48,,,,,,,0.0,1.5499999999999972,0.5,2.0,4.0,1.82,1.0,3.0,1.26,1.0,2.549999999999997,1.08,1.0,2.0,0.62,1.0,3.549999999999997,1.66,1.0,4.0,1.58,16.0,24.0,15.64,4500.0,4500.0,4500,0.0,0.5499999999999972,0.06,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,500.0,570.0,503.4,15000.0,15000.0,15000,4335.0,4842.5,4296,10.0,20.0,9.7,0.0,0.0,0,4950.0,4950.0,4950,,,,1.0,1.0,0.62,,,,100.0,150.0,94,200.0,200.0,188,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.32,0.0,1.5499999999999972,0.46,0.0,0.5499999999999972,0.06,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,20.0,55.49999999999997,19.4,,,,,,,20.0,50.0,19,,,,,,,4950.0,4950.0,4950
27,0.0,0.0,0,0.0,1.5499999999999972,0.34,,,,,,,0.0,2.0,0.48,2.0,4.549999999999997,2.22,1.0,3.549999999999997,0.96,1.0,3.0,1.44,0.5,2.0,0.62,1.0,3.0,1.52,1.0,3.0,1.42,13.0,28.099999999999994,15.72,4500.0,4500.0,4500,0.0,1.0,0.1,40.0,40.0,36,0.0,0.0,0,24.0,24.0,24,540.0,610.0,539.4,15000.0,15000.0,15000,4320.0,4847.5,4285,10.0,17.749999999999986,8.8,0.0,0.0,0,4950.0,4950.0,4950,,,,1.0,1.0,0.68,,,,50.0,200.0,79,0.0,0.0,0,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.16,0.0,1.0,0.48,0.0,1.0,0.14,0.0,1.0,0.14,0.0,0.0,0.04,10.0,65.49999999999997,19.1,,,,,,,20.0,60.99999999999994,20,,,,,,,4950.0,4950.0,4950
28,0.0,0.0,0,0.0,1.5499999999999972,0.38,,,,,,,0.0,2.0,0.56,2.0,5.0,2.2,1.0,3.0,1.34,1.0,2.0,0.88,0.0,2.0,0.62,1.0,3.0,1.44,1.0,4.0,1.58,17.0,30.64999999999999,18.44,4500.0,4500.0,4500,0.0,1.0,0.14,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,540.0,610.0,539.4,15000.0,15000.0,15000,4580.0,5240.0,4594,10.0,17.749999999999986,10.7,0.0,0.0,0,4950.0,4950.0,4950,,,,1.0,1.0,0.6,,,,100.0,200.0,98,350.0,350.0,301,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,1.0,1.0,1,0.0,1.0,0.12,0.0,1.0,0.36,0.0,1.0,0.1,0.0,1.0,0.26,0.0,0.0,0.04,10.0,25.0,8.7,,,,,,,50.0,70.0,49.8,,,,50.0,50.0,43,4950.0,4950.0,4950
29,0.0,0.0,0,0.0,1.0,0.46,,,,,,,0.0,2.0,0.44,2.0,4.549999999999997,2.36,1.0,3.549999999999997,1.1,1.0,2.0,1.12,1.0,2.0,0.76,1.0,3.0,1.28,1.0,3.0,1.48,14.0,28.549999999999997,15.5,4500.0,4500.0,4500,0.0,1.0,0.1,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,540.0,610.0,539.4,15000.0,15000.0,15000,4640.0,5372.5,4687,10.0,17.749999999999986,9.3,0.0,0.0,0,4950.0,4950.0,4950,,,,1.0,1.0,0.52,,,,75.0,200.0,93,100.0,100.0,90,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.14,1.0,2.0,0.78,0.0,0.5499999999999972,0.06,0.0,1.0,0.36,0.0,0.5499999999999972,0.06,10.0,35.0,17.6,,,,,,,20.0,70.0,19,,,,,,,4950.0,4950.0,4950
30,0.0,0.0,0,0.0,1.0,0.38,,,,,,,0.0,1.5499999999999972,0.48,2.0,3.549999999999997,1.74,1.0,2.0,1,1.0,3.0,1.3,1.0,2.0,0.72,1.0,3.0,1.52,2.0,4.0,1.86,16.0,29.099999999999994,16.44,4500.0,4500.0,4500,0.0,1.0,0.16,20.0,20.0,16.8,0.0,0.0,0,24.0,24.0,24,555.0,630.0,556.2,15000.0,15000.0,15000,4700.0,5355.0,4683,10.0,20.0,9.2,0.0,0.0,0,4950.0,4950.0,4950,,,,0.0,1.0,0.48,,,,100.0,150.0,86,0.0,0.0,0,,,,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,1.0,1.0,1,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.18,0.0,2.0,0.54,0.0,0.0,0.04,0.0,1.0,0.46,0.0,0.0,0.02,20.0,35.0,17.7,,,,,,,20.0,50.0,17.8,,,,,,,4950.0,4950.0,4950
