day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean
11,0.0,0.0,0,0.0,2.0,0.405,0.0,1.0,0.072,1.0,2.0,0.64,0.0,1.0,0.259,0.0,2.0,0.544,0.0,1.0,0.157,1.0,2.0,1.031,0.0,2.0,0.612,4.0,11.0,4.845,1500.0,1500.0,1500,0.0,1.0,0.297,30.0,30.0,21.09,0.0,1.0,0.28,1.0,1.0,1,100.0,140.0,96.93,300.0,300.0,300,1370.0,1820.0,1351.8,3.0,6.0,1.98,0.0,0.0,0,800.0,800.0,800,1.0,1.0,0.578,,,,0.0,200.0,41.6,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.44,0.0,1.0,0.109,0.0,1.0,0.274,0.0,0.0,0.039,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0,0.0,1.0,0.305,0.0,0.0,0.049,0.0,2.0,0.607,0.0,1.0,0.234,0.0,2.0,0.45,0.0,1.0,0.154,1.0,2.0,0.935,0.0,2.0,0.546,3.0,9.0,4.209,1500.0,1500.0,1500,0.0,1.0,0.301,0.0,0.0,0,1.0,1.0,0.72,1.0,1.0,1,100.0,140.0,96.93,1100.0,1100.0,1100,1420.0,1970.0,1430.4,3.0,6.0,1.98,0.0,0.0,0,800.0,800.0,800,1.0,1.0,0.604,,,,0.0,200.0,38.8,200.0,200.0,139.8,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.56,0.0,1.0,0.106,0.0,1.0,0.246,0.0,0.0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0,0.0,1.0,0.384,0.0,1.0,0.067,1.0,2.0,0.678,0.0,1.0,0.266,0.0,2.0,0.507,0.0,1.0,0.171,1.0,2.0,0.996,1.0,2.0,0.651,3.0,11.0,4.609,1500.0,1500.0,1497,0.0,1.0,0.28,40.0,40.0,28.8,0.0,1.0,0.28,1.0,1.0,0.998,130.0,180.0,125.73,400.0,400.0,400,1370.0,1870.0,1374.1,3.0,6.0,2.998,0.0,0.0,0,800.0,800.0,800,1.0,1.0,0.604,,,,0.0,200.0,43.7,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.44,0.0,1.0,0.106,0.0,1.0,0.236,0.0,1.0,0.052,,,,1500.0,1500.0,1500,0.0,3.0,1.008,0.0,1.0,0.322,0.0,1.0,0.336,0.0,1.0,0.342,,,,,,,,,,0.0,0.0,0.002,0.0,0.0,0.01,,,
14,0.0,0.0,0,0.0,1.0,0.324,0.0,1.0,0.075,0.0,2.0,0.608,0.0,1.0,0.197,0.0,2.0,0.435,0.0,1.0,0.14,1.0,2.0,0.899,0.0,2.0,0.602,8.0,15.0,8.002,1500.0,1500.0,1495.5,0.0,1.0,0.287,0.0,0.0,0,1.0,1.0,0.72,1.0,1.0,0.997,130.0,180.0,125.73,1200.0,1200.0,1200,1570.0,2120.0,1557.35,3.0,6.0,3.003,0.0,0.0,0,800.0,800.0,800,1.0,1.0,0.601,,,,0.0,100.0,33.7,350.0,350.0,249.55,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.56,0.0,1.0,0.109,0.0,1.0,0.248,0.0,0.0,0.039,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,35.65,50.0,50.0,35.65,0.0,0.0,0.001,0.0,0.0,0.005,,,
15,0.0,0.0,0,0.0,1.0,0.418,0.0,1.0,0.07,1.0,2.0,0.661,0.0,1.0,0.276,0.0,2.0,0.487,0.0,1.0,0.161,1.0,2.0,0.994,1.0,2.0,0.653,3.0,11.0,4.533,1500.0,1500.0,1470,0.0,1.0,0.312,0.0,0.0,0,0.0,1.0,0.28,1.0,1.0,0.98,130.0,180.0,125.73,2000.0,2000.0,2000,1570.0,2170.0,1569.85,3.0,6.0,3.088,0.0,0.0,0,800.0,800.0,800,1.0,1.0,0.606,,,,0.0,200.0,43.7,100.0,100.0,68.8,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.44,0.0,1.0,0.094,0.0,1.0,0.235,0.0,0.0,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.017,0.0,0.0,0.085,,,
16,0.0,0.0,0,0.0,1.0,0.338,0.0,1.0,0.066,0.0,2.0,0.603,0.0,1.0,0.246,0.0,2.0,0.447,0.0,1.0,0.155,1.0,2.0,0.871,0.0,2.0,0.554,3.0,10.0,4.244,1500.0,1500.0,1440,0.0,1.0,0.315,20.0,20.0,13.7,1.0,1.0,0.72,1.0,1.0,0.96,140.0,200.0,139.43,2800.0,2800.0,2800,1470.0,2070.0,1509.95,3.0,8.0,3.188,0.0,0.0,0,800.0,800.0,800,1.0,1.0,0.548,,,,0.0,100.0,40.1,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.56,0.0,1.0,0.096,0.0,1.0,0.258,0.0,1.0,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.02,0.0,0.0,0.1,,,
17,0.0,0.0,0,0.0,1.0,0.376,0.0,1.0,0.065,0.0,2.0,0.65,0.0,1.0,0.274,0.0,2.0,0.466,0.0,1.0,0.155,1.0,3.0,1.043,1.0,2.0,0.691,3.0,10.0,4.204,1500.0,1500.0,1390.5,0.0,1.0,0.308,0.0,0.0,0,0.0,1.0,0.28,1.0,1.0,0.927,140.0,200.0,139.43,600.0,600.0,600,1570.0,2170.0,1556.65,3.0,9.0,3.353,0.0,0.0,0,800.0,800.0,800,1.0,1.0,0.584,,,,0.0,200.0,42.9,150.0,150.0,103.8,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.44,0.0,1.0,0.085,0.0,1.0,0.212,0.0,0.0,0.046,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.033,0.0,0.0,0.165,,,
18,0.0,0.0,0,0.0,1.0,0.329,0.0,1.0,0.073,0.0,2.0,0.605,0.0,1.0,0.22,0.0,2.0,0.463,0.0,1.0,0.129,1.0,2.0,0.87,0.0,2.0,0.591,3.0,10.0,3.828,1500.0,1500.0,1296,0.0,1.0,0.317,30.0,30.0,20.49,1.0,1.0,0.72,1.0,1.0,0.864,160.0,210.0,159.92,1400.0,1400.0,1400,1470.0,2070.0,1491.55,3.0,9.0,3.668,0.0,0.0,0,800.0,800.0,800,1.0,1.0,0.531,,,,0.0,100.0,34.9,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.56,0.0,1.0,0.08,0.0,1.0,0.216,0.0,0.0,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.063,0.0,5.0,0.315,,,
19,0.0,0.0,0,0.0,1.0,0.373,0.0,1.0,0.064,1.0,2.0,0.661,0.0,1.0,0.268,0.0,2.0,0.509,0.0,1.0,0.189,1.0,3.0,0.997,1.0,2.0,0.659,3.0,9.0,3.701,1500.0,1500.0,1170,0.0,1.0,0.301,0.0,0.0,0,0.0,1.0,0.28,1.0,1.0,0.78,160.0,210.0,159.92,700.0,700.0,700,1570.0,2220.0,1577.05,6.0,11.0,5.126,0.0,0.0,0,800.0,800.0,800,0.0,1.0,0.453,,,,0.0,200.0,45.7,200.0,200.0,139.8,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.44,0.0,1.0,0.081,0.0,1.0,0.208,0.0,0.0,0.038,,,,1500.0,1500.0,1500,0.0,3.0,1.038,0.0,1.0,0.323,0.0,1.0,0.346,0.0,1.0,0.331,,,,,,,,,,0.0,1.0,0.084,0.0,5.0,0.42,,,
20,0.0,0.0,0,0.0,1.0,0.343,0.0,0.049999999999954525,0.051,0.0,2.0,0.616,0.0,1.0,0.219,0.0,2.0,0.429,0.0,1.0,0.141,1.0,2.0,0.893,0.0,2.0,0.588,2.0,8.0,2.783,1500.0,1500.0,984,0.0,1.0,0.296,40.0,40.0,28.16,1.0,1.0,0.72,1.0,1.0,0.656,190.0,250.0,188.08,1500.0,1500.0,1500,1520.0,2170.0,1513.05,6.0,11.0,5.746,0.0,0.0,0,800.0,800.0,800,0.0,1.0,0.387,,,,0.0,100.0,36,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.56,0.0,1.0,0.076,0.0,1.0,0.166,0.0,0.0,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.124,0.0,5.0,0.62,,,
21,0.0,0.0,0,0.0,1.0,0.398,0.0,1.0,0.077,0.0,2.0,0.655,0.0,1.0,0.271,0.0,2.0,0.478,0.0,1.0,0.193,1.0,2.0499999999999545,0.992,1.0,2.0,0.656,3.0,14.0,4.44,1500.0,1500.0,805.5,0.0,1.0,0.301,0.0,0.0,0,0.0,1.0,0.28,1.0,1.0,0.537,190.0,250.0,188.08,2300.0,2300.0,2300,1720.0,2420.0,1704.1,6.0,13.0,6.579,0.0,0.0,0,800.0,800.0,800,0.0,1.0,0.322,,,,0.0,200.0,46.4,350.0,350.0,244.65,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.44,0.0,1.0,0.055,0.0,1.0,0.131,0.0,0.0,0.029,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,34.95,50.0,50.0,34.95,0.0,1.0,0.119,0.0,7.0,0.833,,,
