day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
11,2.0,2.0,2,0.0,2.0,0.641,0.0,1.0,0.104,1.0,3.0,1.152,0.0,2.0,0.411,1.0,2.0,0.793,0.0,1.0,0.242,2.0,3.0,1.626,1.0,3.0,1.031,10.0,18.0,11.788,8000.0,8000.0,8000,30.0,30.0,30,20.0,20.0,20,1.0,1.0,1,24.0,24.0,24,420.0,470.0,435.27,950.0,950.0,950,3560.0,3960.0,3559.1,0.0,0.0,0,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.606,,,,0.0,200.0,65.3,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.09,0.0,1.0,0.25,0.0,1.0,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2.0,2.0,2,0.0,2.0,0.598,0.0,1.0,0.109,1.0,3.0,1.051,0.0,2.0,0.466,1.0,2.0,0.863,0.0,1.0,0.261,2.0,3.0,1.585,1.0,3.0,1.067,10.0,18.0,11.707,8000.0,9600.0,8336,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,24.0,24.0,24,440.0,490.0,455.27,1150.0,1150.0,1150,3860.0,4260.0,3831.8,0.0,0.0,0,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.611,,,,100.0,200.0,72.7,200.0,200.0,200,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.102,0.0,1.0,0.232,0.0,1.0,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2.0,2.0,2,0.0,2.0,0.596,0.0,1.0,0.113,1.0,3.0,1.149,0.0,2.0,0.441,1.0,2.0,0.757,0.0,1.0,0.263,1.0,3.0,1.56,1.0,3.0,1.121,10.0,18.0,11.889,9600.0,9600.0,9004.8,40.0,40.0,40,20.0,20.0,20,1.0,1.0,1,24.0,24.0,24,500.0,550.0,515.27,1350.0,1350.0,1350,3860.0,4360.0,3892.2,0.0,0.0,0,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.601,,,,100.0,200.0,70.4,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24.008,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.102,0.0,1.0,0.257,0.0,0.0,0.04,,,,,,,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,
14,2.0,2.0,2,0.0,2.0,0.618,0.0,1.0,0.115,1.0,3.0,1.079,0.0,2.0,0.477,1.0,2.0,0.816,0.0,1.0,0.274,1.0,3.0,1.515,1.0,3.0,1.106,15.0,24.0,16.791,9600.0,12000.0,9683.2,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,24.0,24.0,24.006,520.0,570.0,535.27,50.0,50.0,51.5,4310.0,4710.0,4212.3,0.0,3.0,0.978,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,25.5,12000.0,12000.0,11976,1.0,1.0,0.603,,,,100.0,200.0,75.1,350.0,350.0,350,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24.092,,,,20.0,20.0,20,70.0,70.0,70,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.091,0.0,1.0,0.248,0.0,1.0,0.058,,,,50.0,50.0,50,0.0,0.0,105,1500.0,1500.0,1497,0.0,3.0,0.978,0.0,1.0,0.338,0.0,1.0,0.326,0.0,1.0,0.334,,,,,,
15,2.0,2.0,2,1.0,2.0,0.646,0.0,1.0,0.103,1.0,3.0,1.025,0.0,2.0,0.433,1.0,2.0,0.83,0.0,1.0,0.289,1.0,3.0,1.566,1.0,3.0,1.108,10.0,18.0,11.796,9600.0,12000.0,10273.6,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,24.0,24.0,24.05,540.0,590.0,555.37,250.0,250.0,262.5,4410.0,4810.0,4144.5,0.0,3.0,0.984,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,187,12000.0,12000.0,11799,1.0,1.0,0.605,,,,100.0,200.0,72.2,100.0,100.0,100,100.0,100.0,100,,,,100.0,100.0,100,24.0,28.0,24.284,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.1,0.0,1.0,0.089,0.0,1.0,0.268,0.0,0.0,0.038,,,,,,,0.0,0.0,240,0.0,0.0,3,0.0,0.0,0.006,,,,0.0,0.0,0.002,,,,,,,,,
16,2.0,2.0,2,0.0,2.0,0.618,0.0,1.0,0.114,1.0,3.0,1.165,0.0,2.0,0.418,1.0,2.0,0.809,0.0,1.0,0.264,2.0,3.0,1.568,1.0,3.0,1.044,10.0,18.0,11.877,8000.0,12000.0,8380,20.0,20.0,20,20.0,20.0,20,1.0,1.0,1,24.0,26.0,24.188,580.0,630.0,595.57,450.0,950.0,497,4510.0,4910.0,4077.7,0.0,3.0,0.984,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,8500.0,586.5,12000.0,12000.0,11379,1.0,1.0,0.593,,,,100.0,200.0,68.2,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,28.0,24.392,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.2,0.0,1.0,0.103,0.0,1.0,0.253,0.0,1.0,0.051,,,,,,,0.0,0.0,135,,,,,,,,,,,,,,,,,,,,,
17,2.0,2.0,2,0.0,2.0,0.594,0.0,1.0,0.098,1.0,3.0,1.131,0.0,2.0,0.449,1.0,2.0,0.771,0.0,1.0,0.28,2.0,3.0,1.612,1.0,3.0,1.065,10.0,18.0,11.681,8000.0,12000.0,8564,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,24.0,28.0,24.338,600.0,650.0,615.67,650.0,650.0,628,4560.0,4960.0,3630.6,0.0,3.0,1.056,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,8500.0,637.5,12000.0,12000.0,11325,1.0,1.0,0.622,,,,100.0,200.0,72.9,150.0,150.0,150,100.0,100.0,100,,,,100.0,100.0,100,24.0,28.0,24.928,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.1,0.0,1.0,0.081,0.0,1.0,0.244,0.0,1.0,0.053,,,,,,,0.0,5000.0,670,0.0,1500.0,106.5,0.0,0.0,0.072,0.0,0.0,0.02,0.0,0.0,0.024,0.0,0.0,0.027,,,,,,
18,2.0,2.0,2,0.0,2.0,0.59,0.0,1.0,0.1,1.0,3.0,1.075,0.0,2.0,0.438,1.0,2.0,0.794,0.0,1.0,0.302,1.0,3.0,1.529,1.0,3.0,1.172,10.0,18.0,11.705,9600.0,9600.0,9092.8,30.0,30.0,30,20.0,20.0,20,1.0,1.0,1,24.0,28.0,24.794,650.0,700.0,666.62,850.0,850.0,700.5,4560.0,4960.0,3289.6,0.0,3.0,1.08,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,12750.0,1938,12000.0,12000.0,10149,1.0,1.0,0.604,,,,100.0,200.0,74,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,28.0,25.26,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.95,0.0,1.0,0.1,0.0,1.0,0.247,0.0,0.0,0.049,,,,,,,0.0,5000.0,415,0.0,0.0,40.5,0.0,0.0,0.024,0.0,0.0,0.012,0.0,0.0,0.008,0.0,0.0,0.007,,,,,,
19,2.0,2.0,2,0.0,2.0,0.613,0.0,1.0,0.118,1.0,3.0,1.068,0.0,2.0,0.43,1.0,2.0,0.813,0.0,1.0,0.268,2.0,4.0,1.637,1.0,3.0,1.053,10.0,19.0,11.828,9600.0,9600.0,9199.2,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,24.0,28.0,25.177,670.0,720.0,686.97,1050.0,1050.0,871.75,560.0,4960.0,2004.4,0.0,3.0,1.209,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,12750.0,1627.75,12000.0,12000.0,10200,1.0,1.0,0.583,,,,100.0,200.0,69.8,200.0,200.0,200,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,26.504,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.35,0.0,1.0,0.12,0.0,1.0,0.239,0.0,1.0,0.058,,,,,,,0.0,5000.0,1555,0.0,1500.0,201,0.0,0.0,0.129,0.0,0.0,0.038,0.0,0.0,0.043,0.0,1.0,0.053,,,,,,
20,2.0,2.0,2,0.0,2.0,0.585,0.0,1.0,0.107,1.0,3.0,1.094,0.0,2.0,0.438,1.0,2.0,0.79,0.0,1.0,0.241,2.0,4.0,1.681,1.0,3.0,1.064,11.0,18.049999999999955,11.962,8000.0,12000.0,8917.6,40.0,40.0,40,20.0,20.0,20,1.0,1.0,1,27.0,28.0,26.193,730.0,780.0,748.57,750.0,1250.0,859.25,460.0,4960.0,1667.3,0.0,3.0,1.278,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,12750.0,4318,12000.0,12000.0,7770,1.0,1.0,0.57,,,,100.0,200.0,67.9,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,26.828,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,1.6,0.0,1.0,0.102,0.0,1.0,0.274,0.0,1.0,0.054,,,,,,,0.0,5000.0,405,0.0,1500.0,124.5,0.0,0.0,0.069,0.0,0.0,0.029,0.0,0.0,0.023,0.0,0.0,0.031,,,,,,
21,2.0,2.0,2,0.0,2.0,0.651,0.0,1.0,0.111,1.0,3.0,1.071,0.0,2.0,0.461,1.0,2.0,0.805,0.0,1.0,0.26,1.0,3.0,1.57,1.0,3.0,1.071,15.0,23.0,16.821,8000.0,12000.0,8888,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,26.747,750.0,800.0,769.27,950.0,1450.0,1076.25,610.0,1310.0,759.4,0.0,6.0,1.578,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,12750.0,2354.5,12000.0,12000.0,9162,1.0,1.0,0.601,,,,100.0,200.0,72.1,350.0,350.0,350,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.892,,,,20.0,20.0,20,70.0,70.0,70,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.7,0.0,1.0,0.084,0.0,1.0,0.261,0.0,1.0,0.054,,,,50.0,50.0,50,0.0,5000.0,1330,0.0,1500.0,466.5,0.0,3.0,0.3,0.0,1.0,0.1,0.0,1.0,0.1,0.0,1.0,0.111,,,,,,
22,2.0,2.0,2,0.0,2.0,0.564,0.0,1.0,0.119,1.0,3.0,1.123,0.0,2.0,0.44,1.0,2.0,0.827,0.0,1.0,0.27,2.0,4.0,1.608,1.0,3.0,1.049,10.0,19.0,11.948,8000.0,12000.0,9488,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.626,770.0,820.0,790.37,1150.0,1150.0,1056.5,810.0,1510.0,845.4,0.0,6.0,1.683,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,12750.0,3735.75,12000.0,12000.0,8322,1.0,1.0,0.608,,,,100.0,200.0,71,100.0,100.0,100,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.96,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,1.1,0.0,1.0,0.095,0.0,1.0,0.254,0.0,0.0,0.043,,,,,,,0.0,0.0,85,0.0,1500.0,162,0.0,0.0,0.105,0.0,0.0,0.032,0.0,0.0,0.035,0.0,0.0,0.041,,,,,,
23,2.0,2.0,2,0.0,2.0,0.558,0.0,1.0,0.102,1.0,3.0,1.103,0.0,2.0,0.433,1.0,2.0,0.84,0.0,1.0,0.272,2.0,4.0,1.613,1.0,3.0,1.079,10.0,18.049999999999955,11.868,9600.0,12000.0,9488.8,20.0,20.0,20,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.926,810.0,860.0,830.77,1350.0,1350.0,1331.5,810.0,1510.0,895.9,3.0,6.0,1.956,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,4250.0,1275,12000.0,12000.0,10251,1.0,1.0,0.592,,,,100.0,200.0,70.5,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.976,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.4,0.0,1.0,0.095,0.0,1.0,0.263,0.0,0.049999999999954525,0.05,,,,,,,0.0,0.0,20,0.0,1500.0,399,0.0,3.0,0.273,0.0,1.0,0.075,0.0,1.0,0.091,0.0,1.0,0.1,,,,,,
24,2.0,2.0,2,0.0,2.0,0.607,0.0,1.0,0.108,1.0,3.0,1.082,0.0,2.0,0.455,1.0,2.0,0.795,0.0,1.0,0.28,1.0,4.0,1.569,1.0,3.0,1.104,10.0,18.0,11.847,9600.0,9600.0,9272,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.968,830.0,880.0,850.92,50.0,50.0,57,1060.0,1760.0,1104.4,3.0,6.0,2.91,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,178.5,12000.0,12000.0,11811,1.0,1.0,0.583,,,,100.0,200.0,73.5,150.0,150.0,150,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.988,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.15,0.0,1.0,0.106,0.0,1.0,0.265,0.0,0.0,0.046,,,,,,,0.0,0.0,15,1500.0,1500.0,1485,0.0,3.0,0.954,0.0,1.0,0.36,0.0,1.0,0.318,0.0,1.0,0.312,,,,,,
25,2.0,2.0,2,0.0,2.0,0.578,0.0,1.0,0.11,1.0,3.0,1.077,0.0,2.0,0.439,1.0,2.0,0.804,0.0,1.0,0.297,2.0,3.0499999999999545,1.602,1.0,3.0,1.093,10.0,19.0,11.771,8000.0,9600.0,8781.6,30.0,30.0,30,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.985,880.0,930.0,901.07,250.0,250.0,250.75,1160.0,1860.0,1173,3.0,6.0,2.91,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,72.25,12000.0,12000.0,11928,1.0,1.0,0.603,,,,100.0,200.0,73.6,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.992,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.15,0.0,1.0,0.096,0.0,1.0,0.241,0.0,1.0,0.06,,,,,,,0.0,0.0,5,0.0,0.0,6,,,,0.0,0.0,0.003,,,,0.0,0.0,0.001,,,,,,
26,2.0,2.0,2,0.0,2.0,0.614,0.0,1.0,0.107,1.0,3.0,1.081,0.0,2.0,0.469,1.0,2.0,0.792,0.0,1.0,0.281,2.0,3.0499999999999545,1.64,1.0,3.0,1.016,10.0,18.0,11.777,8000.0,12000.0,8471.2,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.991,900.0,950.0,921.07,450.0,450.0,450.75,1460.0,2160.0,1443,3.0,6.0,2.913,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,25.5,12000.0,12000.0,11970,1.0,1.0,0.584,,,,100.0,200.0,75,200.0,200.0,200,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.996,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.105,0.0,1.0,0.257,0.0,1.0,0.054,,,,,,,0.0,0.0,5,0.0,0.0,4.5,0.0,0.0,0.003,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,,,,,,
27,2.0,2.0,2,0.0,2.0,0.629,0.0,1.0,0.116,1.0,3.0,1.103,0.0,2.0,0.431,1.0,2.0,0.796,0.0,1.0,0.246,2.0,3.0,1.62,1.0,3.0,1.059,10.0,18.049999999999955,11.897,8000.0,12000.0,8812.8,40.0,40.0,40,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.995,960.0,1010.0,981.07,650.0,650.0,650.25,1460.0,2160.0,1510.7,3.0,6.0,2.916,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,17,12000.0,12000.0,11982,1.0,1.0,0.593,,,,100.0,200.0,67.7,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.996,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.1,0.0,1.0,0.255,0.0,1.0,0.052,,,,,,,,,,0.0,0.0,1.5,0.0,0.0,0.003,,,,0.0,0.0,0.001,,,,,,,,,
28,2.0,2.0,2,0.0,2.0,0.62,0.0,1.0,0.108,1.0,3.0,1.122,0.0,2.0,0.409,1.0,2.0,0.836,0.0,1.0,0.253,2.0,3.0,1.594,1.0,3.0,1.058,15.0,23.0,16.807,8000.0,12000.0,9144.8,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.996,980.0,1030.0,1001.07,850.0,850.0,850.5,1910.0,2610.0,1926.9,3.0,6.0,2.916,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,4.25,12000.0,12000.0,11994,1.0,1.0,0.595,,,,100.0,200.0,66.2,350.0,350.0,350,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.996,,,,20.0,20.0,20,70.0,70.0,70,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.111,0.0,1.0,0.245,0.0,0.0,0.049,,,,50.0,50.0,50,,,,0.0,0.0,1.5,,,,,,,,,,0.0,0.0,0.001,,,,,,
29,2.0,2.0,2,0.0,2.0,0.584,0.0,1.0,0.111,1.0,3.0,1.104,0.0,2.0,0.439,1.0,2.0,0.828,0.0,1.0,0.28,2.0,3.0,1.632,1.0,3.0,1.022,10.5,19.0,11.865,9600.0,12000.0,9152,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.996,1000.0,1050.0,1021.07,1050.0,1050.0,1049,2110.0,2810.0,2098.8,3.0,6.0,2.919,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.607,,,,100.0,200.0,71.9,100.0,100.0,100,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.996,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.094,0.0,1.0,0.256,0.0,0.0,0.043,,,,,,,,,,0.0,0.0,1.5,0.0,0.0,0.003,,,,0.0,0.0,0.001,,,,,,,,,
30,2.0,2.0,2,0.0,2.0,0.621,0.0,1.0,0.121,1.0,3.0,1.047,0.0,2.0,0.447,1.0,2.0,0.807,0.0,1.0,0.243,2.0,3.0,1.625,1.0,3.0,1.089,10.0,19.0,11.847,8000.0,12000.0,9018.4,20.0,20.0,20,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.996,1040.0,1090.0,1061.07,1250.0,1250.0,1249,2160.0,2910.0,2167.8,3.0,6.0,2.919,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.609,,,,100.0,200.0,69,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,27.996,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.104,0.0,1.0,0.238,0.0,0.0,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
